Real-time,RTD Average Upper Temperature (C)
2018-02-26 00:59:52,-14.1407
2018-02-26 01:59:46,-14.33304
2018-02-26 02:59:52,-13.85755
2018-02-26 03:59:46,-12.76222
2018-02-26 04:59:54,-12.25257
2018-02-26 05:59:47,-12.2405
2018-02-26 06:59:52,-12.02244
2018-02-26 07:59:46,-11.78257
2018-02-26 08:59:46,-11.29343
2018-02-26 09:59:46,-10.9169
2018-02-26 10:59:53,-10.29869
2018-02-26 11:59:45,-9.909516
2018-02-26 12:59:48,-9.240635
2018-02-26 13:59:48,-8.994262
2018-02-26 14:59:48,-8.810685
2018-02-26 15:59:45,-8.892749
2018-02-26 16:59:45,-9.172858
2018-02-26 17:59:47,-9.513767
2018-02-26 18:59:51,-10.03665
2018-02-26 19:59:45,-10.80835
2018-02-26 20:59:46,-12.12463
